14.55,18.05,39.6,60,58
19.21,21.7,50.2,52,50
22.2,24.65,53.3,44,42
24.81,26.01,56.04,42,40
26.40,27.9,59.2,40,38
28.10,28.91,61.2,38,36
29.1,31.51,65,36,34
32.6,34.7,73.4,30,28
35.70,46.01,44,13,11
47.2,57.37,61,9,7
